,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,central,no,basic,college,2/18/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer3,agent,four-door car,medsize
1,west region,no,basic,college,1/18/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer4,call center,four-door car,medsize
2,east,no,basic,bachelor,2/10/11,feb,employed,m,suburban,single,personal auto,personal l3,offer3,call center,suv,medsize
3,north west,yes,extended,college,1/11/11,jan,employed,m,suburban,single,corporate auto,corporate l3,offer2,branch,four-door car,medsize
4,north west,no,premium,bachelor,1/17/11,jan,medical leave,f,suburban,married,personal auto,personal l2,offer1,branch,four-door car,medsize
5,north west,yes,basic,high school or below,2/14/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer1,agent,four-door car,medsize
6,west region,no,basic,doctor,2/14/11,feb,employed,f,urban,married,corporate auto,corporate l2,offer2,branch,four-door car,medsize
7,west region,no,basic,high school or below,2/24/11,feb,employed,m,urban,single,personal auto,personal l2,offer2,branch,two-door car,medsize
8,west region,yes,premium,college,1/19/11,jan,employed,m,suburban,single,personal auto,personal l1,offer2,branch,sports car,medsize
9,north west,no,extended,master,1/4/11,jan,employed,f,suburban,married,corporate auto,corporate l3,offer2,agent,four-door car,small
10,central,no,extended,high school or below,1/2/11,jan,employed,m,urban,married,corporate auto,corporate l3,offer2,branch,suv,large
11,north west,no,basic,bachelor,2/7/11,feb,employed,m,urban,divorced,corporate auto,corporate l3,offer1,call center,two-door car,medsize
12,north west,no,extended,high school or below,1/31/11,jan,employed,f,rural,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
13,west region,no,basic,master,1/26/11,jan,employed,m,suburban,single,personal auto,personal l3,offer4,call center,two-door car,medsize
14,central,no,premium,high school or below,2/28/11,feb,unemployed,m,suburban,married,personal auto,personal l2,offer3,agent,two-door car,medsize
15,west region,yes,basic,master,1/16/11,jan,employed,f,suburban,divorced,special auto,special l1,offer2,branch,suv,medsize
