,Unnamed: 0,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,0,4809,48029,61,7,52,0,9,292
1,1,2228,26794,64,3,26,0,1,744
2,2,14947,22139,100,34,31,0,2,480
3,3,22332,49078,97,10,3,0,2,484
4,4,9025,23675,117,15,31,1,7,707
5,5,4745,50549,61,2,73,0,7,292
6,6,5035,37405,63,8,99,3,4,287
7,7,4956,87197,63,35,45,0,3,247
8,8,5989,66839,154,33,24,0,1,739
9,9,17114,70961,85,19,8,0,2,408
10,10,5154,82730,127,13,31,0,1,442
11,11,2420,31710,62,5,29,0,1,199
12,12,19955,69096,99,24,32,0,2,64
13,13,5454,66334,69,25,25,0,4,331
14,14,12836,94244,116,6,28,0,2,835
15,15,4626,79487,114,20,87,0,1,547
16,16,5326,76717,66,26,10,0,6,300
17,17,2497,13964,69,5,74,0,1,272
18,18,2736,17533,73,10,1,0,1,350
19,19,3746,41479,94,14,38,1,1,19
20,20,7247,30822,104,9,58,0,7,499
21,21,6274,13662,85,29,37,0,3,408
22,22,15031,59456,189,11,7,0,8,907
23,23,5107,70174,64,25,80,0,7,128
24,24,2502,74492,74,26,95,1,1,355
25,25,9521,27769,121,24,78,0,6,123
26,26,8869,81350,110,1,28,0,9,228
27,27,4376,63774,111,18,63,0,1,60
28,28,2926,92381,72,24,27,0,1,234
29,29,24706,26307,73,26,1,0,2,313
30,30,8491,87603,116,3,97,0,3,1193
31,31,9191,23823,115,5,39,0,6,567
32,32,5776,27510,159,5,28,3,1,871
33,33,9115,69588,114,19,45,0,6,173
34,34,4163,43276,104,16,11,0,1,499
35,35,5264,79320,72,30,26,0,8,135
36,36,3945,28855,101,12,59,0,1,647
37,37,5176,41533,65,2,46,0,9,232
38,38,4492,21137,61,29,62,1,6,292
39,39,8470,89515,82,1,13,0,2,479
40,40,2880,81565,71,19,54,0,1,190
41,41,6182,20072,82,35,51,0,9,473
42,42,9799,22166,126,10,22,0,6,604
43,43,5790,84551,72,10,82,0,5,28
44,44,5041,61972,64,2,52,2,5,138
45,45,5745,57740,74,30,87,3,9,269
46,46,4827,60196,68,29,91,0,6,326
47,47,7664,60184,199,7,44,1,1,161
48,48,3593,18213,96,12,43,1,1,460
49,49,9863,99654,121,13,95,0,3,272
50,50,5111,76448,63,9,13,0,3,302
51,51,2590,22398,67,26,76,0,1,321
52,52,2452,51085,62,4,58,1,1,406
53,53,2194,90262,62,11,48,0,1,623
54,54,4473,73615,125,2,84,0,1,600
55,55,19435,38688,249,22,6,0,3,2294
56,56,2457,52926,61,2,92,0,1,292
57,57,6870,92311,105,5,87,0,3,756
58,58,14019,31739,71,10,29,0,2,469
59,59,5575,91416,69,23,39,0,5,109
60,60,5651,44634,71,16,99,1,9,396
61,61,4556,25617,63,22,3,0,3,302
62,62,2108,88337,61,8,91,0,1,351
63,63,3095,88103,92,31,24,1,1,774
64,64,5860,94527,73,16,32,0,3,41
65,65,2300,25905,63,21,12,0,1,302
66,66,4950,27400,63,14,78,1,9,302
67,67,7507,60920,64,12,61,0,2,231
68,68,2224,61545,64,20,4,0,1,483
69,69,2867,23376,78,19,18,0,1,374
70,70,5427,27677,72,10,82,1,3,345
71,71,12157,40432,77,21,66,0,2,369
72,72,8152,55636,79,19,70,0,2,568
73,73,2191,58087,61,9,16,1,1,439
74,74,26346,48268,223,28,26,0,2,1605
75,75,2364,46264,62,17,75,0,1,199
76,76,2710,97660,71,7,87,0,1,340
77,77,74228,53080,242,1,34,0,2,1742
78,78,14687,62864,85,3,61,0,2,612
79,79,9312,75986,115,11,44,0,3,89
80,80,7750,22668,67,5,34,1,2,33
81,81,2540,42557,65,4,35,0,1,57
82,82,2456,17741,73,15,59,0,1,525
83,83,3755,56178,94,1,39,0,1,451
84,84,5181,79392,70,1,64,2,7,336
85,85,32474,71449,102,17,7,0,2,734
86,86,8349,45428,109,25,46,0,3,487
87,87,8126,14616,107,6,73,3,3,513
88,88,13466,11432,119,16,9,4,2,571
89,89,5210,89781,66,7,89,0,5,37
90,90,6941,78520,111,3,73,3,6,532
91,91,7048,24030,194,14,0,0,1,970
92,92,26770,26335,113,32,7,1,2,355
93,93,9549,55986,119,3,60,0,9,388
94,94,4331,82302,106,11,92,0,1,722
95,95,7294,77942,113,12,66,2,7,733
96,96,3289,40097,92,23,35,4,1,227
97,97,2505,60546,63,21,71,0,1,46
